"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Authorization","0","Negative","2","0","","0"
"0","Create booking","0","Negative","5","0","Test incorrect dates","0"
"0","Getting booking","0","Positive","1","0","Get bookings by date","0"
"0","Getting booking","0","Positive","1","0","Get booking by id","0"
"0","Getting booking","0","Negative","1","0","Get deleted booking by id","0"
"0","Create booking","0","Positive","3","0","Test additionalneeds in payloads","0"
"0","Create booking","0","Negative","3","0","Test incorrect payloads","0"
"0","Authorization","0","Positive","1","0","Correct login, password","0"
"0","Update booking","0","Positive","1","0","Update booking by 'put'","0"
"0","Update booking","0","Negative","1","0","Update booking by 'patch' with wrong type data","0"
"0","Delete booking","0","Positive","1","0","Delete existing booking by id","0"
"0","Update booking","0","Negative","1","0","Update booking by 'patch' without auth","0"
"0","Update booking","0","Negative","1","0","Update booking by 'put' without auth","0"
"0","Update booking","0","Negative","1","0","Update booking by 'put' with wrong type data","0"
"0","Create booking","0","Positive","2","0","Test correct dates","0"
"0","Getting booking","0","Positive","1","0","Get bookings by name","0"
"0","Delete booking","0","Negative","1","0","Delete deleted booking","0"
"0","Update booking","0","Positive","1","0","Update booking by 'patch'","0"
"0","Getting booking","0","Positive","1","0","Get all bookings","0"
